II	Воронько Платон	62		
II	Лисянский Марк	68		
II	Михалков Сергей	72		
II	Музеев Нурдин	80		
II	Рафибейли Нигяр	81		
II	Ручьев Борис	83		
II	Смеляков Ярослав	91		
II	Смирнов Сергей	100		
II	Яшин Александр	106		
II	Маршак Самуил	120		
II	Истру Богдан	125		
II	Кешоков Алим	128		
II	Кулешов Аркадий	131	139	
II	Недогонов Алексей	139		
II	Озеров Лев	143		
II	Сагиян Амо	148		
II	Хелемский Яков	150		
II	Шираз Ованес	154		
II	Шубин Павел	162		
II	Долматовский Евгений	172		
II	Жумамуратов Тлеуберген	177		
II	Зульфия	180		
II	Ковалев Дмитрий	187		
II	Копштейн Арон	191		
II	Маркарян Маро	193		
II	Матусовский Михаил	200		
II	Осмонов Алыкул	205		
II	Сейтлиев Кара	206		
II	Симонов Константин	210		
II	Татьяничева Людмила	218		
II	Тушнова Вероника	224		
II	Шефнер Вадим	228		
II	Эсенова Тоушан	235		
II	Дудин Михаил	245		
II	Ергалиев Хамид	255		
II	Львов Михаил	258		
II	Маргиани Реваз	264		
II	Огнецвет Эди	269	270	
II	Хаппалаев Юсуп	270		
II	Шогенцуков Адам	272		
II	Юсуфи Хабиб	273		
II	Яндиев Джемалдин	274		
II	Геловани Мирза	276		
II	Данилов Семен	278		
II	Крученюк Петря	280		
II	Кулиев Кайсын	282		
II	Лазарев Григорий	293		
II	Панченко Пимен	294	300	
II	Шинкуба Баграт	300		
II	Забашта Любовь	303		
II	Казаков Миклай	306		
II	Киреенко Кастусь	306	311	
II	Коган Павел	311		
II	Луконин Михаил	313		
II	Мешок Джордже	319		
II	Наджми Назар	320		
II	Нонешвили Иосиф	322		
II	Отрада Николай	326		
II	Тряпкин Николай	328		
II	Федоров Василий	332		
II	Капутикян Сильва	339		
II	Карим Мустай	346		
II	Кильчичаков Михаил	355		
II	Кульчицкий Михаил	359		
II	Майоров Николай	360		
II	Межелайтис Эдуардас	364		
II	Наровчатов Сергей	373		
II	Ованесян Рачия	382		
II	Парве Ральф	385		
II	Попов Леонид	388		
II	Слуцкий Борис	389		
II	Суворов Георгий	397		
II	Фатьянов Алексей	399		
II	Эмин Геворг	401		
II	Гончаров Виктор	408		
II	Кросс Яан	411		
II	Мулдагалиев Джубан	414		
II	Пысин Алексей	418	423	
II	Решетников Леонид	423		
II	Самойлов Давид	428		
II	Козловский Яков	441		
II	Кулемин Василий	444		
II	Мирмухсин	446		
II	Орлов Сергей	449		
II	Сангаджиева Бося	454		
II	Субботин Василий	455		
II	Тарба Иван	459		
II	Эралиев Суюнбай	462		
II	Викулов Сергей	467		
II	Гудзенко Семен	472		
II	Давтян Ваагн	476		
II	Кугультинов Давид	480		
II	Левитанский Юрий	489		
II	Мауленов Сарыбай	495		
II	Мозурюнас Владас	499		
II	Поженян Григорий	503		
II	Скалбе Арвид	506		
II	Смуул Юхан	508		
II	Цеков Пасарби	509		
II	Велюгин Анатолий	514	519	
II	Гали Муса	519		
II	Гамзатов Расул	520		
II	Доризо Николай	530		
II	Межиров Александр	536		
II	Рамазанов Гилемдар	544		
II	Джусойты Нафи	551		
II	Друнина Юлия	552		
II	Залендин Салехжан	557		
II	Каландадзе Анна	558		
